Address,Name,Symbol,Total Supply,Decimals,Block Height,Block Timestamp
0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,Pundi X Token,PUNDIX,258441720099924396455928086,18,16938406,2023-03-30 14:53:35
0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,35283904986788565,6,16938406,2023-03-30 14:53:35
0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,5102067151631478727639207837,18,16938406,2023-03-30 14:53:35
0xdB25f211AB05b1c97D595516F45794528a807ad8,STASIS EURS Token,EURS,12412594000,2,16938406,2023-03-30 14:53:35
0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,LINK,1000000000000000000000000000,18,16938406,2023-03-30 14:53:35
0xAE12C5930881c53715B369ceC7606B70d8EB229f,Coin98,C98,217777774000000000000000000,18,16938406,2023-03-30 14:53:35
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,3785469022261197011970438,18,16938406,2023-03-30 14:53:35
0x4Fabb145d64652a948d72533023f6E7A623C7C53,Binance USD,BUSD,7664673849000000000000000000,18,16938406,2023-03-30 14:53:35
0x853d955aCEf822Db058eb8505911ED77F175b99e,Frax,FRAX,1044853133258784156507370384,18,16938407,2023-03-30 14:53:47
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,31506425875039550,6,16938407,2023-03-30 14:53:47
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,Wrapped BTC,WBTC,15045018423130,8,16938407,2023-03-30 14:53:47
